name,distance,mass,radius,gravity
Sun,1.5813e-05,1.989e+30,695699985.6259885,274.26917279304587
Sirius,8.6,4.1768999999999993e+30,1189646975.4204404,196.97180768968096
Alpha Centauri,4.4,2.1879e+30,834839982.7511861,209.51117366135452
Altair,17.0,3.5802e+30,1252259974.1267793,152.37176266280326
Fomalhaut,25.0,3.779099999999999e+30,1252259974.1267793,160.8368605885145
Tau Ceti,11.9,1.5573869999999998e+30,621260087.1640078,269.29968223291377
Delta Pavonis,19.92,1.971098999999999e+30,848753982.463706,182.6127050778744
